tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svIn,w_svTot,w_1stWon,w_2ndWon,w_SvGms,w_bpIn,w_bpTot,l_ace,l_df,l_svIn,l_svTot,l_1stWon,l_2ndWon,l_SvGms,l_bpIn,l_bpTot,winner_rank,winner_rank_points,loser_rank,loser_rank_points
580,Australian Open,Hard,32,A,,239,jannik-sinner,1,,Jannik Sinner,R,0,ITA,0.0,alexander-zverev,2,,Alexander Zverev,R,0,GER,0.0,N/A,3,F,0,6,2,60,57,84,61,0,0,0,12,2,68,65,69,50,0,80,8,0,0,0,0
2025-580,Australian Open,Hard,32,A,,238,jannik-sinner,1,,Jannik Sinner,R,0,ITA,0.0,ben-shelton,21,,Ben Shelton,R,0,USA,0.0,N/A,3,SF,0,8,0,56,50,74,62,0,71,5,7,6,62,73,55,49,0,54,7,0,0,0,0
2025-580,Australian Open,Hard,32,A,,237,alexander-zverev,2,,Alexander Zverev,R,0,GER,0.0,novak-djokovic,7,,Novak Djokovic,R,0,SRB,0.0,N/A,3,SF,0,5,0,54,29,72,60,0,100,5,8,1,76,29,83,78,0,100,3,0,0,0,0
2025-580,Australian Open,Hard,32,A,,236,jannik-sinner,1,,Jannik Sinner,R,0,ITA,0.0,alex-de minaur,8,,Alex de Minaur,R,0,AUS,0.0,N/A,3,QF,0,2,0,66,39,85,80,0,100,1,2,1,51,40,65,39,0,40,4,0,0,0,0
2025-580,Australian Open,Hard,32,A,,235,ben-shelton,21,,Ben Shelton,R,0,USA,0.0,lorenzo-sonego,,,Lorenzo Sonego,R,0,ITA,0.0,N/A,3,QF,0,9,5,72,101,75,55,0,75,6,3,1,67,102,71,53,0,73,8,0,0,0,0
2025-580,Australian Open,Hard,32,A,,234,alexander-zverev,2,,Alexander Zverev,R,0,GER,0.0,tommy-paul,12,,Tommy Paul,R,0,USA,0.0,N/A,3,QF,0,8,2,66,78,67,50,0,43,3,7,5,70,94,71,51,0,64,7,0,0,0,0
2025-580,Australian Open,Hard,32,A,,233,novak-djokovic,7,,Novak Djokovic,R,0,SRB,0.0,carlos-alcaraz,3,,Carlos Alcaraz,R,0,ESP,0.0,N/A,3,QF,0,5,3,63,86,64,56,0,64,7,9,2,74,93,67,34,0,54,7,0,0,0,0
2025-580,Australian Open,Hard,32,A,,232,jannik-sinner,1,,Jannik Sinner,R,0,ITA,0.0,holger-rune,13,,Holger Rune,R,0,DEN,0.0,N/A,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-580,Australian Open,Hard,32,A,,231,alex-de minaur,8,,Alex de Minaur,R,0,AUS,0.0,alex-michelsen,,,Alex Michelsen,R,0,USA,0.0,N/A,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-580,Australian Open,Hard,32,A,,230,ben-shelton,21,,Ben Shelton,R,0,USA,0.0,gael-monfils,,,Gael Monfils,R,0,FRA,0.0,N/A,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-580,Australian Open,Hard,32,A,,229,lorenzo-sonego,,,Lorenzo Sonego,R,0,ITA,0.0,learner-tien,,Q,Learner Tien,R,0,USA,0.0,N/A,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-580,Australian Open,Hard,32,A,,228,alexander-zverev,2,,Alexander Zverev,R,0,GER,0.0,ugo-humbert,14,,Ugo Humbert,R,0,FRA,0.0,N/A,3,R16,0,12,3,71,74,69,23,0,63,10,19,3,71,61,84,48,0,71,5,0,0,0,0
2025-580,Australian Open,Hard,32,A,,227,carlos-alcaraz,3,,Carlos Alcaraz,R,0,ESP,0.0,jack-draper,15,,Jack Draper,R,0,GBR,0.0,N/A,3,R16,0,5,2,60,41,54,44,0,67,8,6,5,68,40,83,37,0,67,2,0,0,0,0
2025-580,Australian Open,Hard,32,A,,226,novak-djokovic,7,,Novak Djokovic,R,0,SRB,0.0,jiri-lehecka,24,,Jiri Lehecka,R,0,CZE,0.0,N/A,3,R16,0,4,1,61,28,75,72,0,100,1,4,2,53,29,76,42,0,75,6,0,0,0,0
