tourney_name,winner_name,loser_name,score
Wimbledon,Jannik Sinner(1),Carlos Alcaraz(2),score_simulé
Wimbledon,Jannik Sinner(1),Novak Djokovic(6),score_simulé
Wimbledon,Carlos Alcaraz(2),Taylor Fritz(5),score_simulé
Wimbledon,Jannik Sinner(1),Ben Shelton(10),score_simulé
Wimbledon,Novak Djokovic(6),Flavio Cobolli(22),score_simulé
Wimbledon,Carlos Alcaraz(2),Cameron Norrie,score_simulé
Wimbledon,Taylor Fritz(5),Karen Khachanov(17),score_simulé
Wimbledon,Jannik Sinner(1),Grigor Dimitrov(19),score_simulé
Wimbledon,Novak Djokovic(6),Alex de Minaur(11),score_simulé
Wimbledon,Ben Shelton(10),Lorenzo Sonego,score_simulé
Wimbledon,Flavio Cobolli(22),Marin Cilic,score_simulé
Wimbledon,Carlos Alcaraz(2),Andrey Rublev(14),score_simulé
Wimbledon,Taylor Fritz(5),Jordan Thompson,score_simulé
Wimbledon,Karen Khachanov(17),Kamil Majchrzak,score_simulé
Wimbledon,Cameron Norrie,Nicolas Jarry(Q),score_simulé
Wimbledon,Jannik Sinner(1),Pedro Martinez,score_simulé
Wimbledon,Novak Djokovic(6),Miomir Kecmanovic,score_simulé
Wimbledon,Ben Shelton(10),Marton Fucsovics(LL),score_simulé
Wimbledon,Alex de Minaur(11),August Holmgren(Q),score_simulé
Wimbledon,Flavio Cobolli(22),Jakub Mensik(15),score_simulé
Wimbledon,Grigor Dimitrov(19),Sebastian Ofner,score_simulé
Wimbledon,Lorenzo Sonego,Brandon Nakashima(29),score_simulé
Wimbledon,Marin Cilic,Jaume Munar,score_simulé
Wimbledon,Carlos Alcaraz(2),Jan-Lennard Struff,score_simulé
Wimbledon,Taylor Fritz(5),Alejandro Davidovich Fokina(26),score_simulé
Wimbledon,Andrey Rublev(14),Adrian Mannarino(Q),score_simulé
Wimbledon,Karen Khachanov(17),Nuno Borges,score_simulé
Wimbledon,Nicolas Jarry(Q),Joao Fonseca,score_simulé
Wimbledon,Kamil Majchrzak,Arthur Rinderknech,score_simulé
Wimbledon,Cameron Norrie,Mattia Bellucci,score_simulé
Wimbledon,Jordan Thompson,Luciano Darderi,score_simulé
Wimbledon,Jannik Sinner(1),Aleksandar Vukic,score_simulé
Wimbledon,Marin Cilic,Jack Draper(4),score_simulé
Wimbledon,Novak Djokovic(6),Daniel Evans(WC),score_simulé
Wimbledon,Ben Shelton(10),Rinky Hijikata,score_simulé
Wimbledon,Alex de Minaur(11),Arthur Cazaux(Q),score_simulé
Wimbledon,Sebastian Ofner,Tommy Paul(13),score_simulé
Wimbledon,Jakub Mensik(15),Marcos Giron,score_simulé
Wimbledon,Grigor Dimitrov(19),Corentin Moutet,score_simulé
Wimbledon,August Holmgren(Q),Tomas Machac(21),score_simulé
Wimbledon,Flavio Cobolli(22),Jack Pinnington Jones(WC),score_simulé
Wimbledon,Brandon Nakashima(29),Reilly Opelka,score_simulé
Wimbledon,Marton Fucsovics(LL),Gael Monfils,score_simulé
Wimbledon,Miomir Kecmanovic,Jesper de Jong,score_simulé
Wimbledon,Pedro Martinez,Mariano Navone,score_simulé
Wimbledon,Jaume Munar,Fabian Marozsan,score_simulé
Wimbledon,Lorenzo Sonego,Nikoloz Basilashvili(Q),score_simulé
Wimbledon,Carlos Alcaraz(2),Oliver Tarvet(Q),score_simulé
Wimbledon,Taylor Fritz(5),Gabriel Diallo,score_simulé
Wimbledon,Cameron Norrie,Frances Tiafoe(12),score_simulé
Wimbledon,Andrey Rublev(14),Lloyd Harris,score_simulé
Wimbledon,Karen Khachanov(17),Shintaro Mochizuki(Q),score_simulé
Wimbledon,Mattia Bellucci,Jiri Lehecka(23),score_simulé
Wimbledon,Jan-Lennard Struff,Felix Auger-Aliassime(25),score_simulé
Wimbledon,Alejandro Davidovich Fokina(26),Botic van de Zandschulp,score_simulé
Wimbledon,Nuno Borges,Billy Harris,score_simulé
Wimbledon,Luciano Darderi,Arthur Fery(WC),score_simulé
Wimbledon,Joao Fonseca,Jenson Brooksby,score_simulé
Wimbledon,Nicolas Jarry(Q),Learner Tien,score_simulé
Wimbledon,Kamil Majchrzak,Ethan Quinn,score_simulé
Wimbledon,Adrian Mannarino(Q),Valentin Royer(Q),score_simulé
Wimbledon,Arthur Rinderknech,Cristian Garin(LL),score_simulé
Wimbledon,Jordan Thompson,Benjamin Bonzi,score_simulé
Wimbledon,Jannik Sinner(1),Luca Nardi,score_simulé
Wimbledon,Jack Draper(4),Sebastian Baez,score_simulé
Wimbledon,Novak Djokovic(6),Alexandre Muller,score_simulé
Wimbledon,Nikoloz Basilashvili(Q),Lorenzo Musetti(7),score_simulé
Wimbledon,Ben Shelton(10),Alex Bolt(Q),score_simulé
Wimbledon,Alex de Minaur(11),Roberto Carballes Baena,score_simulé
Wimbledon,Tommy Paul(13),Johannus Monday(WC),score_simulé
Wimbledon,Jakub Mensik(15),Hugo Gaston,score_simulé
Wimbledon,Gael Monfils,Ugo Humbert(18),score_simulé
Wimbledon,Grigor Dimitrov(19),Yoshihito Nishioka,score_simulé
Wimbledon,Tomas Machac(21),Damir Dzumhur,score_simulé
Wimbledon,Flavio Cobolli(22),Beibit Zhukayev(Q),score_simulé
Wimbledon,Mariano Navone,Denis Shapovalov(27),score_simulé
Wimbledon,Jaume Munar,Alexander Bublik(28),score_simulé
Wimbledon,Brandon Nakashima(29),Yunchaokete Bu,score_simulé
Wimbledon,Miomir Kecmanovic,Alex Michelsen(30),score_simulé
Wimbledon,Arthur Cazaux(Q),Adam Walton,score_simulé
Wimbledon,Marin Cilic,Raphael Collignon,score_simulé
Wimbledon,Jesper de Jong,Christopher Eubanks,score_simulé
Wimbledon,Daniel Evans(WC),Jay Clarke(WC),score_simulé
